"","counts","density","mids"
"Bin_1",28586,53185,0
"Bin_2",0,0,0
"Bin_3",0,0,0
"Bin_4",0,0,0
"Bin_5",0,0,0
"Bin_6",0,0,0
"Bin_7",0,1,0.02
"Bin_8",0.03,0,0
"Bin_9",0,0,0
"Bin_10",0,0,0
"Bin_11",0,0,0
"Bin_12",0,0,0
"Bin_13",0,0,0
"Bin_14",0,-10,10
"Bin_15",30,50,70
"Bin_16",90,110,130
"Bin_17",150,170,190
"Bin_18",210,230,250
"Bin_19",270,290,310
"Bin_20",330,350,370
